Хэгдыткумэмэ русскай поэт Александр Сергеевич Пушкин 1799 аннганиду балдычан.	Великий русский поэт Александр Сергеевич Пушкин родился в 1799 году.	1,00
Нунган нямадидук аннганилдук хэлэкэ амаски бидечэн, дукудячан.	Он жил и писал более чем сто лет тому назад.	1,00
Эми-вал нунганнгилин произведениелин, нунганнгин славан (савдерин) эрдэлэ индерэ.	Но его произведения, его слава живы и до сих пор.	1,00
Митнгиду хэгдыду дуннэнгдут упкаттун Пушкинма садерэ, аявдерэ.	Во всей нашей большой стране Пушкина знают и любят. {Нет такого уголка в нашей необъятной стране, где бы не знали и не любили Пушкина.}.	1,00
Нунганнгилван произведениелван (дукуналван) кэтэрэтэл тангдяра, нунганнгилван стихилвэн, эденгэт омнговро, алагудяра.	Его произведения перечитывают по многу раз, сто стихи заучивают наизусть.	1,00
Горомомоду дюкэду бидечэл, родинадуквар бэлэгэе алатчэнэл, челюскинецил Пушкинма тангдячатын.	Ожидая на далекой льдине помощи с родины, герои челюскинцы читали Пушкина.	1,00
Полярнай долбони хактырдун, нунгардутын Пушкин дылачагачин бичэн.	Во мраке полярной ночи он заменял им недостающее солнце.	1,00
Энгэсивэ будерил пушкинингил стихил турэртын маннивдячатын илэлду илкичэривэтын, мэрвэр энгэсилвэр тэдечэвунмэтын, родинавар тэдечэвунмэтын.	Вдохновенные слова пушкинских стихов укрепляли в людях надежду, веру в себя, в свои силы, в свою родину.	1,00
Ленин Пушкинма сот аявдечан, ссылкаду (унгикитту) Сибирду биденгэсиви, нунганнгилван стихилвэн урунчэденэ тангдянгкин.	Ленин очень любил Пушкина и во время своей ссылки, в Сибири, наслаждался его стихами.	1,00
Митнги родинат хавалдярилдун Пушкин произведениелин (дукуналин) сот аявуврил биси, нунгартын урувсипчувэ бинивэ, энгэсивэ бивудерэ, свободава (тынмукитвэ) аявувкандерэ, эксплоататорилва (болгичадярилва) тыкундядатын, алагудяра.	Произведения Пушкина дороги трудящимся нашей родины потому, что они полны жизнерадостности, бодрости, мужества, любви к свободе, ненависти к эксплоататорам.	1,00
Пушкин элэкэсипты, тэгэ дярин дукудяри, поэт бичэн.	Пушкин был первым поэтом, который писал для народа.	1,00
Пушкин ургэпчулду аннганилду бидечэн, тэли Россияду тэгэмэр, помещикил нюнгэл бичэтын, тэли крестьянисал, крепостноит правот сот тырэчивдечэтын.	Он жил в то тяжелое время, когда Россией правили царь и помещики, когда крестьяне страдали под гнетом крепостного права.	1,00
Сокур помещикил тэгэдук тагдыдянгкитын, крепостноилва крестьянисалва идэгэгэчиндивэр (мэндыкэгэчиндивэр) тангичадянгкитын.	Жестокие помещики грабили народ и распоряжались крепостными крестьянами, как своим имуществом (своей собственностью).	1,00
Нунгартын илэлвэ униеденгкитын, нгинакирди дюгэчингкитын, картылди эвивунтэденгкитын.	Они продавали людей, меняли их на собак, проигрывали в карты.	1,00
Пушкин тэгэвэ сот аявдечан, нунганман сот муландечан (сингниндечэн).	Пушкин горячо любил народ и сочувствовал его страданиям.	1,00
Нунган крепостнойва правова сот тыкундячан, тэгэ свободнай одянгаван тэдедечэн.	Он ненавидел крепостное право и верил в то, что народ будет свободен.	1,00
Нунган мэннгилдиви произведениелдиви (дукуналдиви) самодержавиева хуски, помещикилвэ-дворянисалва хуски нгэнэдечэн.	В своих произведениях он выступал против самодержавия, против помещиков-дворян.	1,00
Тэгэвэ, нунганнгиван ургэпчувэ бинивэн, урувсипчулвэн, нунганнгилван итылван ичэвкэндечэн.	[и] с любовью воспевал народ, его горе и радости, его нравы и обычаи.	1,00
Эр тарилдули тэгэмэр, помещикил нунганман сот тыкундячатын.	За это и возненавидели его царь и помещики.	1,00
Упкаттун бинидун хэгдыткумэмэвэ поэтва хэривчэдечэтын.	Всю жизнь травили они великого поэта.	1,00
Нунганман гороткумамалдула Россиянгилдула бикичилдулэ унгденгкитын, гороткумамаду гулэсэгду кэтэвэ аннганилва бивкэнденгкитын, аяткумамалва произведекиелван бэденгкитын печатайвкандеми.	Его ссылали в глухие места России, запирали на много лет в далекой деревеньке, запрещали печатать его замечательные произведения.	1,00
1837 аннганиду иландяр дяпкун аннганингичи балдыдукви, Пушкин тэгэмэр сипкумнин нгалэдин неливсипчут вавчан.	В 1837 году, всего лишь тридцати восьми лет отроду, Пушкин трагически погиб от руки царского наемника.	1,00
Русскайду тэгэду ургэпчу бичэн, поэт вавчаван тылчэлэн.	Русский народ с негодованием узнал об убийстве поэта. .	1,00
Дяр тысячал илэл нунганнгилан гулэлэн эмэчэтын, аявривар поэтва ичэдэвэр.	Десятки тысяч людей пришли к его дому, чтобы в последний раз увидеть любимого поэта и проститься с ним.	1,00
Тэгэл тыкундитын нгэлтэчэми, тэгэмэрнгил кэлумэлин, делумкэтчэнэл, дёромисалгачир,хактырапчуду долбониду мирэ (февраль) бегадун, бунивэ поэтва столицадук (соткудук городтук) сурувчэтын, тадук делумкэн нунганман нэчэтын гулэсэгду Михайловскаду, Псковскайду губернияду.	Опасаясь народных волнений, царские слуги, крадучись, как воры, в глухую февральскую ночь увезли из столицы тело поэта и тайком похоронили его близ глухого села Михайловского в Псковской губернии.	1,00
Пушкин кэтэмэмэвэ очан русскай тэгэ дярин.	Пушкин очень много сделал для русского народа.	1,00
Нунган элэкэсиптыт дукулчан тыливгэнди турэнди.	Он первый стал писать простым, понятным для него языком.	1,00
Нунган русскайва турэнмэ итывчан.	Он создал русский язык.	1,00
 Тар турэнди эситкэн дяр миллионил хавалдярил турэтчэрэ.	Он создал тот русский язык, на котором сейчас говорят десятки миллионов трудящихся.	1,00
Нунган русскайва литературава алагучан, тэде бидэн.	Он научил русскую литературу быть правдивой.	1,00
Нунган ичэвкэчэн, они художественнай турэн бэлэгэдин тэгэ свободалин нгорчавкавэ.	Он показал, как при помощи художественного слова нужно бороться за счастье народа.	1,00
Пушкин сот аяпчулва произведениелва (дукуналви) дукучан.	Много замечательных произведений было написано Пушкиным.	1,00
 Тарилдук роман „Дубровский" гэрбичи кэневдевки.	Среди них роман „Дубровский" занимает видное место.	1,00
